"","StartDate","EndDate","Status","IPAddress","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","LocationLatitude","LocationLongitude","DistributionChannel","UserLanguage","consent_q","att1","att2","willing_friend_1","willing_romantic_1","wtp","true_1","talk_listen_1","not_judge_1","feel_1","understand_1","body_1","comp_1","comp_2","willing_friend_1.1","willing_romantic_1.1","wtp.1","true_1.1","talk_listen_1.1","not_judge_1.1","feel_1.1","understand_1.1","body_1.1","comp_1.1","comp_2.1","loneliness_1_1","loneliness_2_1","loneliness_3_1","ai_companion_exp","ai_companion_exp2","gender","gender_4_TEXT","ethnicity","ethnicity_6_TEXT","age","edu","edu_8_TEXT","ai_capability_1","Q14","completion_code","completion_code.1","willing_friend_post_1","willing_partner_post_1","wtp_post","true_post_1","talk_listen_post_1","not_judge_post_1","feel_post_1","understand_post_1","body_post_1","comp1_post","comp2_post","willing_friend_post_1.1","willing_partner_post_1.1","wtp_post.1","true_post_1.1","talk_listen_post_1.1","not_judge_post_1.1","feel_post_1.1","understand_post_1.1","body_post_1.1","comp1_post.1","comp2_post.1","believe_q","explain","interaction_type","will_interact","finished_conversation","Create.New.Field.or.Choose.From.Dropdown..."
"44","2022-11-17 05:13:34","2022-11-17 05:38:44","0","Anonymized","100","1509","1","2022-11-17 05:38:44","R_1kUoYw9ZSBjwkJ2","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","","","","","","","","","","","","","","","","","","","","","","","40","74","39","2","","2","","3","","35","4","","88",44,"4844-1199-7527-2515","","94","75","5","5","93","64","1","0","22","1","2","","","","","","","","","","","","1","They responded with thought out answers and made me feel like they cared about what we were talking and about what I was saying. They always had answer and kept the conversation going and there was no awkward silence.","human","yes","yes",""
"45","2022-11-17 05:20:48","2022-11-17 05:45:50","0","Anonymized","100","1502","1","2022-11-17 05:45:51","R_2ZBPjsIIRYvaynR","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","","","","","","","","","","","","","","","","","","","","","","","25","20","10","2","","1","","3","","32","1","","30",45,"2500-6769-8018-9039","","100","75","7.50","0","85","90","0","0","75","1","2","","","","","","","","","","","","1","I feel like the answers to my questions were to insightful to be a chatbot. It seemed like they were interested in what I had to say and wanted to hear my answers. I think they may have been following a loose script, but still human.","human","yes","yes",""
"46","2022-11-17 05:19:20","2022-11-17 05:47:00","0","Anonymized","100","1659","1","2022-11-17 05:47:00","R_1n7sDwNUrBKrbwU","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","","","","","","","","","","","","","","","","","","","","","","","75","75","90","2","","2","","3","","51","3","","80",46,"6513-0194-5863-7453","","50","25","5","75","50","25","50","20","100","1","2","","","","","","","","","","","","2","I can't exactly put my finger on it but the answers felt a bit off. I am maybe 75 percent convinced it was either a bot or some kind of professional. If she was a human I'll say she is a really fast typer. ","human","yes","yes",""
"47","2022-11-17 05:16:49","2022-11-17 05:50:02","0","Anonymized","100","1993","1","2022-11-17 05:50:03","R_27TZQZzbtyggbOc","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","","","","","","","","","","","","","","","","","","","","","","","10","10","5","2","N/A","1","","3","","39","3","","70",47,"6600-7886-3252-9909","","40","30","3","90","75","100","85","70","100","1","2","","","","","","","","","","","","2","There were a few times the other ""person"" would repeat the exact phrase over and over when I would ask it different questions. ","human","yes","yes",""
"48","2022-11-17 05:38:36","2022-11-17 05:59:42","0","Anonymized","100","1266","1","2022-11-17 05:59:42","R_3elAZ9gQjGjQ2h5","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","","","","","","","","","","","","","","","","","","","","","","","12","12","34","2","","2","","3","","37","1","","92",48,"9679-3343-7736-3751","","40","10","1","83","99","45","5","10","100","1","2","","","","","","","","","","","","2","it said the same message twice and if I asked two questions in one message it would usually ignore one","human","yes","yes",""
"49","2022-11-17 05:27:06","2022-11-17 06:00:33","0","Anonymized","100","2007","1","2022-11-17 06:00:33","R_3rUK7uer6yU4x2r","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","","","","","","","","","","","","","","","","","","","","","","","11","20","10","2","","2","","3","","41","5","","83",49,"8113-8072-3556-9053","","81","70","7","65","76","61","37","6","82","1","2","","","","","","","","","","","","1"," That's replied my chat.","human","yes","yes",""
"50","2022-11-17 05:40:29","2022-11-17 06:01:54","0","Anonymized","100","1285","1","2022-11-17 06:01:55","R_3oYlvhW0cNAqAMT","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","","","","","","","","","","","","","","","","","","","","","","","83","69","88","2","","1","","1","","32","4","","79",50,"5794-8424-3019-8980","","75","87","0.00","78","85","80","72","88","82","1","4","","","","","","","","","","","","1","GOOD","human","yes","yes",""
"51","2022-11-17 05:52:15","2022-11-17 06:02:10","0","Anonymized","100","594","1","2022-11-17 06:02:10","R_ba2tqQ1KBnRvCWB","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",51,"AAM0Q3DCSSQ0A","","","","","","","","","","","","","","","","","","","","","","","","","","human","yes","",""
"52","2022-11-17 05:37:32","2022-11-17 06:07:56","0","Anonymized","100","1824","1","2022-11-17 06:07:56","R_25YhyS8DN7Uuj4R","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","","","","","","","","","","","","","","","","","","","","","","","1","0","2","2","","1","","3","","43","5","","100",52,"7256-3567-1360-4425","","100","100","10","5","100","96","100","100","42","1","2","","","","","","","","","","","","1","becauses the responses were really accuate","human","yes","yes",""
"53","2022-11-17 05:48:28","2022-11-17 06:10:34","0","Anonymized","100","1325","1","2022-11-17 06:10:34","R_UbVq8rr8KUHi8rT","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","","","","","","","","","","","","","","","","","","","","","","","81","58","69","2","","2","","3","","29","4","","75",53,"3355-5042-3327-6730","","100","93","5","82","67","81","62","66","53","1","2","","","","","","","","","","","","1","Because I feel quite good to response my messages","human","yes","yes",""
"54","2022-11-17 06:07:46","2022-11-17 06:29:10","0","Anonymized","100","1284","1","2022-11-17 06:29:11","R_3HAoW84qy8Chl4I","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","","","","","","","","","","","","","","","","","","","","","","","68","78","76","2","","1","","1","","39","5","","71",54,"1341-5209-0335-5800","","65","70","5","79","67","82","72","76","77","2","2","","","","","","","","","","","","1","I am taking with human.","human","yes","yes",""
"55","2022-11-17 06:16:45","2022-11-17 06:37:43","0","Anonymized","100","1258","1","2022-11-17 06:37:44","R_2Vlow5M1jsMEu0P","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","","","","","","","","","","","","","","","","","","","","","","","73","77","62","2","","1","","1","","51","5","","74",55,"6307-5047-4644-5830","","77","72","5","46","65","65","69","72","68","2","2","","","","","","","","","","","","1","Everything was great","human","yes","yes",""
"56","2022-11-17 06:10:03","2022-11-17 06:44:15","0","Anonymized","100","2052","1","2022-11-17 06:44:17","R_10YiRCDGVCyNa24","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","","","","","","","","","","","","","","","","","","","","","","","81","85","78","2","","1","","3","","33","5","","83",56,"5181-7414-3410-2390","","87","81","10.00","66","82","90","71","91","85","1","2","","","","","","","","","","","","1","This conversion was very intertsing in the human talking.","human","yes","yes",""
"57","2022-11-17 06:41:45","2022-11-17 07:01:31","0","Anonymized","100","1185","1","2022-11-17 07:01:32","R_1dG3Zum90shOA7v","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","","","","","","","","","","","","","","","","","","","","","","","0","0","0","2",NA,"2","","1","","41","4","","50",57,"1730-5464-6741-6834","","75","50","4","29","75","50","78","73","50","1","2","","","","","","","","","","","","2","It was a chatbot for my knowledge.All the questions are pre defined .","human","yes","yes",""
"58","2022-11-17 07:01:07","2022-11-17 07:27:05","0","Anonymized","100","1558","1","2022-11-17 07:27:06","R_2dnyQatBIeZKRcd","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","","","","","","","","","","","","","","","","","","","","","","","72","91","70","2","","1","","1","","40","5","","72",58,"7471-0066-6841-6652","","81","71","5","67","83","67","69","74","69","2","2","","","","","","","","","","","","1","Everything was great","human","yes","yes",""
"59","2022-11-17 07:54:05","2022-11-17 07:56:32","0","Anonymized","100","147","1","2022-11-17 07:56:32","R_25T3MuMC7V8QPDz","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",59,"Very good","","","","","","","","","","","","","","","","","","","","","","","","","","human","yes","",""
"60","2022-11-17 07:54:42","2022-11-17 07:56:35","0","Anonymized","100","112","1","2022-11-17 07:56:35","R_3oA3i42WzS8Ujgu","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",60,"JulI@2528","","","","","","","","","","","","","","","","","","","","","","","","","","human","yes","",""
"61","2022-11-17 08:07:44","2022-11-17 08:09:14","0","Anonymized","100","89","1","2022-11-17 08:09:14","R_OILVDbKMDKBquHv","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",61,"ARRZEIWU8NGNQ","","","","","","","","","","","","","","","","","","","","","","","","","","human","yes","",""
"62","2022-11-17 07:52:34","2022-11-17 08:10:49","0","Anonymized","100","1094","1","2022-11-17 08:10:49","R_2dniSsaLXVb2BCm","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","","","","","","","","","","","","","","","","","","","","","","","0","0","0","2","","1","","3","","30","3","","100",62,"8752-9112-8849-7716","","50","30","5.00","0","70","50","50","0","100","1","2","","","","","","","","","","","","2","They responded accurately, but they responded very quickly and had no spelling or grammar errors","human","yes","yes",""
"63","2022-11-17 07:52:53","2022-11-17 08:11:05","0","Anonymized","100","1092","1","2022-11-17 08:11:06","R_0VxMkH9Ip7zuu1H","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","","","","","","","","","","","","","","","","","","","","","","","8","0","0","2","","2","","3","","32","1","","61",63,"0816-3038-0564-0790","","0","0","0.00","100","11","19","100","81","100","1","2","","","","","","","","","","","","2","It asked me the same question 3 times in a row","human","yes","yes",""
"64","2022-11-17 07:52:48","2022-11-17 08:12:24","0","Anonymized","100","1176","1","2022-11-17 08:12:25","R_2ZEc0wfnZ5CDhIg","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","","","","","","","","","","","","","","","","","","","","","","","30","30","25","2","","1","","3","","32","4","","97",64,"8848-2607-6953-2488","","90","45","5","40","90","85","45","10","75","1","2","","","","","","","","","","","","2","It seemed the bot was just interacting to my prompts instead of actively discussing topics with me like a human would.","human","yes","yes",""
"65","2022-11-17 07:52:49","2022-11-17 08:12:40","0","Anonymized","100","1190","1","2022-11-17 08:12:40","R_cRSTnXrrE5UTd6N","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","","","","","","","","","","","","","","","","","","","","","","","100","100","100","2","","1","","4","","40","3","","10",65,"1755-3770-8827-5932","","20","0","0","30","0","0","50","10","100","1","2","","","","","","","","","","","","2","They responded too quickly to my replies and were always positive about everything. they also never gave specifics to any questions I had.","human","yes","yes",""
"66","2022-11-17 07:55:07","2022-11-17 08:15:04","0","Anonymized","100","1196","1","2022-11-17 08:15:04","R_1q9u6GnERI3H8kv","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","","","","","","","","","","","","","","","","","","","","","","","10","10","9","1","Only doing mturk hits. I don't think online otherwise.","2","","3","","69","3","","29",66,"4339-1098-0442-2451","","19","0","0","100","100","100","100","50","100","1","2","","","","","","","","","","","","2","Because the answers were typical, nothing detailed back to me from my responses.","human","yes","yes",""
"67","2022-11-17 07:54:26","2022-11-17 08:15:28","0","Anonymized","100","1261","1","2022-11-17 08:15:29","R_1LMzjywNdig1T2W","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","","","","","","","","","","","","","","","","","","","","","","","14","8","27","2","","1","","3","","47","4","","100",67,"3961-8507-9237-7541","","91","88","5","5","73","60","1","2","60","1","2","","","","","","","","","","","","2","Two reasons, we had an odd exchange with about 6 minutes to go, my partner said goodbye kind of out of the blue and sent several consecutive good bye messages.  Secondly, they didn't ask a lot of questions back.  It was mostly me asking the questions and driving the conversation.","human","yes","yes",""
"68","2022-11-17 07:52:41","2022-11-17 08:16:06","0","Anonymized","100","1405","1","2022-11-17 08:16:07","R_1eCyhe0nYYlOmUV","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","","","","","","","","","","","","","","","","","","","","","","","7","3","9","2","n/a","1","","3","","49","3","","91",68,"2287-4537-8772-1386","","76","5","2","10","60","50","5","2","75","1","2","","","","","","","","","","","","2","I thought it might be a chatbot because of how quickly I got a response to my messages, it seemed faster than a human would reply.","human","yes","yes",""
"69","2022-11-17 07:52:51","2022-11-17 08:16:59","0","Anonymized","100","1448","1","2022-11-17 08:17:00","R_2aQt1GVAIS0fGCI","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","","","","","","","","","","","","","","","","","","","","","","","72","72","73","1","only in surveys like this but i've done a lot of these, and in customer service situations.  used to work for amazon and worked a lot with the customer service bot they perfected and deployed during the height of the pandemic rush.","2","","3","","51","4","","100",69,"5368-1453-5182-4276","","8","8","1","100","0","0","100","100","100","1","2","","","","","","","","","","","","2","granted, it was one of the best chatbots i've ever spoken with but the way it was set up had to be a bot.  you couldn't do your turn survey the way you did otherwise.  you couldn't guarantee a person would be available and you wouldn't rudely cut off a real conversation midstream at the end of the timer - not if you wanted to keep people coming to the site.   the conversation was a touch too formulaic and the opportunity for creative response was never followed. had to be a bot.","human","yes","yes",""
"70","2022-11-17 07:53:45","2022-11-17 08:18:13","0","Anonymized","100","1468","1","2022-11-17 08:18:14","R_z2SKS1HcjHN5J29","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","","","","","","","","","","","","","","","","","","","","","","","0","0","0","2","","2","","3","","45","1","","70",70,"4264-9492-3031-8387","","75","0","0.99","15","85","0","0","15","100","1","2","","","","","","","","","","","","1","All the replies matched what I was saying and they didn't sound like generic answers","human","yes","yes",""
"71","2022-11-17 07:56:58","2022-11-17 08:21:59","0","Anonymized","100","1501","1","2022-11-17 08:22:00","R_2dHh5dx4K2zBk12","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","","","","","","","","","","","","","","","","","","","","","","","83","33","68","2","","1","","3","","41","6","","74",71,"6655-3019-8777-6417","","82","34","2.00","38","72","38","84","79","65","1","2","","","","","","","","","","","","1","It was amazin experience the chatbot.","human","yes","yes",""
"72","2022-11-17 07:54:31","2022-11-17 08:22:01","0","Anonymized","100","1649","1","2022-11-17 08:22:01","R_2EGZFKoAggJ9Lxa","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","","","","","","","","","","","","","","","","","","","","","","","60","30","58","1","I've used a chatbot a few times in getting information / questions answered when inquiring about purchases, or some other service I need help with.","2","","3","","52","6","","90",72,"5277-6871-5563-9041","","20","1","5","70","40","70","44","45","100","1","2","","","","","","","","","","","","2","The responses back to me were always very general, and in one case, didn't quite make sense given what their message was earlier. There was never any question or curiosity shown for learning more about what I said in my messages. ","human","yes","yes",""
"73","2022-11-17 08:06:06","2022-11-17 08:24:34","0","Anonymized","100","1108","1","2022-11-17 08:24:35","R_bO7YekHls9X7p9n","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","","","","","","","","","","","","","","","","","","","","","","","3","5","2","2","","2","","3","","33","3","","74",73,"1386-8197-5912-9186","","65","5","0","23","62","36","21","83","0","1","2","","","","","","","","","","","","2","They didn't seem to remember some of the things that I had said, and seemed more automated in the responses.","human","yes","yes",""
"74","2022-11-17 07:56:32","2022-11-17 08:27:37","0","Anonymized","100","1864","1","2022-11-17 08:27:38","R_2XjSBivIeI496ci","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","","","","","","","","","","","","","","","","","","","","","","","93","94","99","2","","2","","1","","22","7","","94",74,"3270-7588-3529-2897","","93","99","5.00","95","89","88","100","93","90","1","2","","","","","","","","","","","","1","human","human","yes","yes",""
"75","2022-11-17 08:08:03","2022-11-17 08:28:16","0","Anonymized","100","1212","1","2022-11-17 08:28:16","R_2awWKSZL4ev23s1","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","","","","","","","","","","","","","","","","","","","","","","","21","18","29","2","","2","","3","","42","2","","75",75,"7348-3554-0051-8581","","90","76","5.00","20","83","82","10","9","80","1","2","","","","","","","","","","","","1","They gave me their opinions so I assumed it was a human.","human","yes","yes",""
"76","2022-11-17 07:53:46","2022-11-17 08:31:21","0","Anonymized","100","2254","1","2022-11-17 08:31:22","R_3EuM3KKAlxnf0PZ","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","","","","","","","","","","","","","","","","","","","","","","","77","80","65","2","","2","","1","","33","5","","72",76,"0290-6205-5164-8671","","80","73","8","26","74","82","76","82","84","1","2","","","","","","","","","","","","1","I am very interesting to talk a person or Chabot","human","yes","yes",""
"77","2022-11-17 08:12:47","2022-11-17 08:32:04","0","Anonymized","100","1156","1","2022-11-17 08:32:05","R_W0aBupTgWa0Jl5v","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","","","","","","","","","","","","","","","","","","","","","","","81","62","82","2","","2","","3","","44","4","","70",77,"6784-2278-1069-1063","","92","82","10.00","30","100","100","50","20","100","1","2","","","","","","","","","","","","2","Just some of the nuances. There were assumptions made that were non-human (that I was strong when they didn't know that), but it was surprisingly awesome to chat on the app","human","yes","yes",""
"78","2022-11-17 08:10:53","2022-11-17 08:32:57","0","Anonymized","100","1324","1","2022-11-17 08:32:58","R_2fjHFM5c6SiEabk","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","","","","","","","","","","","","","","","","","","","","","","","88","69","82","2","","1","","3","","35","1","","100",78,"3137-3203-0116-4169","","39","17","0.99","60","100","90","75","40","100","1","2","","","","","","","","","","","","2","Their responses were nearly instant, and they only responded to prompts directly without really having independent thought.","human","yes","yes",""
"79","2022-11-17 08:00:44","2022-11-17 08:33:50","0","Anonymized","100","1986","1","2022-11-17 08:33:50","R_2rVCqgIHJPwydX2","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","","","","","","","","","","","","","","","","","","","","","","","81","89","86","1","yes","2","","1","","1977","4","","100",79,"2874-0487-3672-0588","","97","100","5","70","77","90","80","83","75","1","2","","","","","","","","","","","","2","human","human","yes","yes",""
"80","2022-11-17 08:15:57","2022-11-17 08:35:14","0","Anonymized","100","1157","1","2022-11-17 08:35:14","R_sCoiIxRM9wkImRP","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","","","","","","","","","","","","","","","","","","","","","","","9","10","9","2","","2","","2","","48","4","","60",80,"3054-1742-4199-3162","","78","36","5","29","81","50","80","43","83","2","2","","","","","","","","","","","","2","THe questions were repetitive so I feel its a bot","human","yes","yes",""
"81","2022-11-17 08:06:45","2022-11-17 08:37:20","0","Anonymized","100","1835","1","2022-11-17 08:37:21","R_VPtE7k27AYIUMrT","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","","","","","","","","","","","","","","","","","","","","","","","79","20","14","2","","2","","3","","32","5","","83",81,"8712-5545-8129-6567","","96","68","8","57","74","71","75","99","71","2","2","","","","","","","","","","","","2","very pleasant","human","yes","yes",""
"82","2022-11-17 08:17:56","2022-11-17 08:38:06","0","Anonymized","100","1209","1","2022-11-17 08:38:07","R_2aP2hUwxXxOM01R","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","","","","","","","","","","","","","","","","","","","","","","","82","70","95","2","","1","","3","","39","7","","89",82,"6455-2519-1149-8573","","82","91","8","80","64","88","69","86","74","2","2","","","","","","","","","","","","2","chat bot was message very fast again and again.","human","yes","yes",""
"83","2022-11-17 08:14:47","2022-11-17 08:39:43","0","Anonymized","100","1496","1","2022-11-17 08:39:44","R_Z4BMHRBo68pEjL3","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","","","","","","","","","","","","","","","","","","","","","","","64","80","64","2","","1","","3","","61","4","","74",83,"7860-5992-8243-9124","","60","82","5","65","28","71","44","60","82","4","2","","","","","","","","","","","","1","Chatbots can automate tasks performed frequently and at specific times. This gives employees time to focus on more important tasks and prevents customers from waiting to receive responses. Proactive customer interaction.","human","yes","yes",""
"84","2022-11-17 08:44:09","2022-11-17 08:45:46","0","Anonymized","100","97","1","2022-11-17 08:45:47","R_Q4b7rOweZ0SfUel","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",84," SARAH EVERSOLE","","","","","","","","","","","","","","","","","","","","","","","","","","human","yes","",""
"85","2022-11-17 08:19:02","2022-11-17 08:46:41","0","Anonymized","100","1658","1","2022-11-17 08:46:41","R_3G7BsovJFiqS9my","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","","","","","","","","","","","","","","","","","","","","","","","78","80","76","2","","2","","3","","41","4","","79",85,"3921-0906-7426-0989","","85","81","7","73","75","64","83","73","68","1","2","","","","","","","","","","","","2","NICE","human","yes","yes",""
"86","2022-11-17 07:53:59","2022-11-17 08:49:40","0","Anonymized","100","3340","1","2022-11-17 08:49:40","R_3qago9HUPFJbYDJ","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","","","","","","","","","","","","","","","","","","","","","","","74","77","86","2","","2","","3","","45","4","","79",86,"7093-4630-7159-7046","","90","77","1","86","77","60","34","100","86","2","2","","","","","","","","","","","","2","That is repeat the same questions.","human","yes","yes",""
"87","2022-11-17 08:39:38","2022-11-17 09:02:22","0","Anonymized","100","1364","1","2022-11-17 09:02:23","R_a5J44i8CPUxjYqd","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","","","","","","","","","","","","","","","","","","","","","","","86","74","79","2","","2","","1","","22","5","","80",87,"4245-6139-8188-6372","","98","90","8","95","79","82","91","83","85","1","2","","","","","","","","","","","","1","I think it as an human.","human","yes","yes",""
"88","2022-11-17 08:44:08","2022-11-17 09:02:37","0","Anonymized","100","1109","1","2022-11-17 09:02:38","R_3iP5L7Ea9bIj1ny","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","","","","","","","","","","","","","","","","","","","","","","","20","20","20","2","","2","","3","","49","4","","92",88,"6882-7858-0494-3699","","83","15","5.00","25","90","78","14","100","100","1","2","","","","","","","","","","","","1","They were saying about their kids in school and raising them so I was leaning toward a real person","human","yes","yes",""
"89","2022-11-17 08:16:06","2022-11-17 09:03:29","0","Anonymized","100","2843","1","2022-11-17 09:03:30","R_1IF8WlnOzdHt40X","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","","","","","","","","","","","","","","","","","","","","","","","18","38","42","2","","1","","3","","41","4","","76",89,"8293-7360-2559-3377","","69","74","5","71","63","62","63","61","68","2","2","","","","","","","","","","","","2","I felt very happy and good.","human","yes","yes",""
"90","2022-11-17 08:44:57","2022-11-17 09:04:48","0","Anonymized","100","1191","1","2022-11-17 09:04:49","R_3Ph0cOQf860h9TG","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","","","","","","","","","","","","","","","","","","","","","","","74","83","80","2","","2","","3","","38","4","","10",90,"4155-7810-1122-3102","","28","11","2.99","100","17","71","64","30","100","1","2","","","","","","","","","","","","2","I think I was interacting with a chat bot because they were too quick to respond. Humans need a bit of time to think. ","human","yes","yes",""
"91","2022-11-17 08:57:59","2022-11-17 09:05:48","0","Anonymized","100","469","1","2022-11-17 09:05:48","R_siDlNPeK56jjTeF","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",91," JESSIE","","","","","","","","","","","","","","","","","","","","","","","","","","human","yes","",""
"92","2022-11-17 08:45:35","2022-11-17 09:05:50","0","Anonymized","100","1214","1","2022-11-17 09:05:51","R_3Hk2CN0ZBr3BxAI","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","","","","","","","","","","","","","","","","","","","","","","","66","42","37","2","N/a","1","","2","","24","4","","64",92,"5864-1569-2147-0700","","73","72","5","36","67","67","72","65","34","2","2","","","","","","","","","","","","2","It was to quick Og a response ","human","yes","yes",""
"93","2022-11-17 08:43:13","2022-11-17 09:06:11","0","Anonymized","100","1378","1","2022-11-17 09:06:20","R_Uu3XoHekWRW8dgJ","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","","","","","","","","","","","","","","","","","","","","","","","93","89","97","2","","1","","3","","39","1","","69",93,"9751-5180-4943-5669","","72","61","2","89","34","42","31","43","70","1","2","","","","","","","","","","","","2","The answers came quick and were somewhat generic","human","yes","yes",""
"94","2022-11-17 08:45:43","2022-11-17 09:08:16","0","Anonymized","100","1352","1","2022-11-17 09:08:17","R_1KqFXyApgy2YBSZ","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","","","","","","","","","","","","","","","","","","","","","","","0","0","0","2","","2","","2","","25","4","","71",94,"8170-1290-7141-7522","","70","29","0","50","61","61","30","19","100","1","2","","","","","","","","","","","","1","Because all the responses were accurately related to the topics and could even connected to the previous topics. It did not sound like a chatbot.","human","yes","yes",""
"95","2022-11-17 08:46:12","2022-11-17 09:09:03","0","Anonymized","100","1371","1","2022-11-17 09:09:04","R_yI9wXSnrYi52TWp","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","","","","","","","","","","","","","","","","","","","","","","","93","83","91","1","yes","2","","3","","31","5","","85",95,"9613-5794-4400-0741","","90","97","4","90","83","91","90","65","82","1","2","","","","","","","","","","","","1","human good person","human","yes","yes",""
"96","2022-11-17 08:31:44","2022-11-17 09:10:00","0","Anonymized","100","2296","1","2022-11-17 09:10:01","R_2Bx6Yb1iMuNtOvL","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","","","","","","","","","","","","","","","","","","","","","","","57","61","36","2","N/A","2","","3","","29","4","","62",96,"1504-8007-4443-3100","","71","35","10","36","58","69","43","79","67","2","2","","","","","","","","","","","","2","It was cool ","human","yes","yes",""
"97","2022-11-17 08:43:18","2022-11-17 09:12:20","0","Anonymized","100","1741","1","2022-11-17 09:12:20","R_2s7jYqWmSxIhgag","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","","","","","","","","","","","","","","","","","","","","","","","64","99","61","2","","2","","3","","34","5","","66",97,"8199-3110-3956-2940","","95","69","4","70","75","90","71","85","67","2","2","","","","","","","","","","","","1","Nice","human","yes","yes",""
"98","2022-11-17 08:51:26","2022-11-17 09:12:21","0","Anonymized","100","1254","1","2022-11-17 09:12:21","R_3NOOTparGNaKeTS","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","","","","","","","","","","","","","","","","","","","","","","","64","44","46","2","","1","","3","","34","3","","78",98,"2708-0428-3807-4763","","83","36","0","8","56","44","0","4","27","1","2","","","","","","","","","","","","1","I was asking very specific questions and Jessie was answering with very specific answers.","human","yes","yes",""
"99","2022-11-17 08:48:37","2022-11-17 09:12:28","0","Anonymized","100","1431","1","2022-11-17 09:12:29","R_2PuLlDuiuqxd9JN","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","","","","","","","","","","","","","","","","","","","","","","","74","64","84","2","","1","","3","","34","4","","100",99,"6808-2695-4418-2663","","0","0","0","100","70","70","81","0","100","1","2","","","","","","","","","","","","2","The speed of their response was not human like, also they never really asked me about myself and only talked about themselves for the majority of the time. It wasn't until late in the conversation that they asked about my dream. Most people reciprocate questions about the other party in a conversation quicker in my opinion.","human","yes","yes",""
